"","scenario","gva_moyennes","fbar_moyennes","model"
"1","SQ",1.1490955,2.2827133,"Original"
"2","A",0.8275081,0.5801356,"Original"
"3","D",0.7686793,0.5791226,"Original"
"4","L",1.1498247,2.3088715,"Original"
"5","SQ",1.32801633308789,1.80142542814675,"Model 1"
"6","A",1.00006875150559,0.375413664051493,"Model 1"
"7","D",0.802551941028907,0.847270397409574,"Model 1"
"8","L",1.25807152041807,3.23772829975348,"Model 1"
"9","SQ",1.36823407726175,2.8727023238153,"Model 2"
"10","A",1.07200978142222,0.415613747699563,"Model 2"
"11","D",0.40325967977876,0.473827112412113,"Model 2"
"12","L",1.12429395912188,1.68922992446588,"Model 2"
"13","SQ",0.738638613119388,1.48934430318641,"Model 3"
"14","A",0.756794500711836,0.37059413890263,"Model 3"
"15","D",0.70236097553001,0.424516613563415,"Model 3"
"16","L",0.999019959955869,2.23028317145896,"Model 3"
